date,BSV,BWX,BWZ,KBWB,VB,SCHA,IXN,QQQ,OEF,XLG,OIH,ONEQ,DVY,FRI,RWR,USRT,DIA,XLV,XLI,VIS,VAW,XLB,VONG,IWD,SCHV,VONV,IMCB,IWR,VO,IJS,IJK,MDYG,IJJ,IVOV,IYE,XLE,VDE,XLF,VFH,IYH,SLYV,VIOV,SMH,SOXX,XHB,XME,MDYV,ACWI,IJR,FLOT,FLRN,FLTR,FYX,SLY,VIOO,IJT,SLYG,VIOG,IYY,IWV,SPLG,SCHX,IWS,ILCB,ITOT,IVV,IWB,IWL,BAB,BIL,BIV,BKLN,BLV,BND,IUSV,IVE,SPYV,VOOV,AGG,AGZ,ANGL,SPY,VTI,VV,IWM,VTWO,IWN,ILTB,VTWV,SCHB,VONE,VOO,PSCD,PSCT,EDV,ELD,EMB,EMLC,HYG,HYMB,HYS,HYXU,GBF,GHYG,IDU,VPU,XLU,BOND,IYW,XLK,VGT,ISHG,ISTB,ITM,IVOO,IJH,MDY,SPMD,GNMA,GOVT,GSY,GVI,IEF,IEI,IGIB,IGLB,IGOV,IGSB,HYD,JNK,LEMB,LQD,MBB,CEMB,CMBS,CMF,CORP,EBND,IBND,PZA,TDTF,TDTT,TFI,TIP,TLH,PZT,QLTA,RAVI,SCHO,TLT,USIG,VCIT,VCLT,VCSH,VGIT,VGLT,VGSH,VMBS,SCHP,SCHR,SCHZ,SHM,SHV,MINT,MLN,MUB,MUNI,SPTI,SPTL,SPTS,STIP,STPZ,SUB,SHY,SJNK,SMB,ILCG,VUG,IWP,VOT,IWF,MGK,SCHG,NYF,PCY,PHB,PICB,PLW,PSK,PWZ,TOK,URTH,VT,IXC,VDC,VTIP,ZROZ,SPAB,SPBO,SPHY,SPIB,SPIP,SPLB,SPMB,SPSB
2012-12-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-31,1.0016,0.9642,0.9781,1.3735,1.3771,1.395,1.2516,1.3663,1.3006,1.2886,1.2587,1.3986,1.2886,1.0184,1.0093,0.9902,1.2964,1.4141,1.4055,1.4192,1.2494,1.2599,1.3323,1.3209,1.3102,1.327,1.3293,1.3453,1.3505,1.3935,1.3257,1.3251,1.3403,1.344,1.2571,1.2625,1.2583,1.3553,1.3284,1.4125,1.4065,1.3952,1.3333,1.4158,1.2559,0.9462,1.3416,1.2238,1.4133,1.0073,1.0076,1.015,1.4319,1.4109,1.413,1.4226,1.4264,1.4286,1.3265,1.3301,1.3317,1.3242,1.3324,1.3419,1.3273,1.3231,1.3278,1.3185,0.9481,0.9991,0.9641,1.0407,0.9105,0.9789,1.3218,1.3162,1.3176,1.3188,0.9802,0.9873,1.0725,1.3231,1.3345,1.3268,1.387,1.3876,1.3435,0.901,1.3491,1.3319,1.3302,1.3239,1.4959,1.4545,0.802,0.8924,0.9221,0.9006,1.0575,0.9248,1.0772,1.1275,0.9802,1.0791,1.1478,1.149,1.1306,0.9874,1.2657,1.2624,1.3097,0.9743,1.0062,0.9547,1.3361,1.3347,1.3306,1.3858,0.9756,0.9747,1.014,0.9906,0.9391,0.9816,0.9958,0.9213,0.9863,1.0116,0.9127,1.0586,0.9327,0.98,0.9805,0.9505,1.0062,0.9728,0.9834,0.9423,1.0486,0.9286,0.9472,0.9784,0.9611,0.9151,0.9173,0.9308,0.9729,1.0094,1.0041,0.8662,0.9779,0.9805,0.9482,1.0138,0.9731,0.8755,1.0032,0.9873,0.911,0.973,0.98,1.009,1.0,1.0072,0.9089,0.9656,0.9738,0.9878,0.8774,0.9963,0.9825,0.9794,1.0084,1.0021,1.0655,1.0081,1.3174,1.3248,1.3552,1.3242,1.3314,1.3259,1.3404,0.9644,0.8975,1.0441,1.0248,0.9207,0.9426,0.9532,1.2671,1.2666,1.2294,1.1607,1.2803,0.9847,0.7908,0.9787,0.9851,0.9866,0.9943,0.9056,0.9457,0.9818,1.0131
2014-12-31,1.0153,0.9398,0.8826,1.5005,1.4822,1.4864,1.4426,1.6284,1.4641,1.4352,0.9622,1.6037,1.4802,1.3216,1.3306,1.2786,1.4237,1.7695,1.5511,1.5401,1.323,1.3504,1.5045,1.4949,1.4536,1.502,1.5371,1.5209,1.5362,1.4988,1.4226,1.4263,1.4991,1.5069,1.1357,1.1529,1.1337,1.5593,1.5156,1.7677,1.5017,1.499,1.7363,1.8384,1.2942,0.707,1.5071,1.2707,1.4959,1.0082,1.0066,1.0223,1.4504,1.4885,1.4893,1.4797,1.4821,1.4823,1.4973,1.495,1.514,1.5007,1.5242,1.5676,1.4995,1.5026,1.5016,1.5081,1.1094,0.9985,1.0342,1.0464,1.095,1.0359,1.4904,1.4764,1.4779,1.4784,1.039,1.0237,1.1017,1.5012,1.502,1.5044,1.4569,1.4573,1.3991,1.0838,1.4056,1.5008,1.507,1.5033,1.5564,1.6426,1.16,0.8395,0.9778,0.855,1.0776,1.0944,1.0758,1.0291,1.0422,1.0535,1.4617,1.4592,1.4556,1.0528,1.5119,1.4877,1.5458,0.8761,1.0178,1.0529,1.4632,1.4643,1.4556,1.4989,1.0335,1.0209,1.022,1.0191,1.0242,1.0127,1.0342,1.0751,0.9644,1.0183,1.0484,1.0668,0.9054,1.0604,1.0431,0.9894,1.0308,1.0834,1.0597,0.902,0.9989,1.0708,0.9423,0.9615,1.055,0.948,1.0483,1.0763,1.0357,1.0157,1.0094,1.1027,1.0576,1.0556,1.1037,1.0323,1.0176,1.0959,1.0078,1.0454,0.9483,1.0162,1.0415,1.0183,1.0,1.0127,1.0696,1.0559,1.0294,1.0124,1.0995,1.0081,0.9705,0.9658,1.0131,1.0066,1.0518,1.018,1.509,1.5051,1.5136,1.5027,1.5017,1.5064,1.5522,1.0596,0.9797,1.0686,1.0129,1.0588,1.1083,1.1023,1.337,1.322,1.2746,1.0254,1.4853,0.9708,1.1764,1.0372,1.0662,1.0597,1.0385,0.947,1.1007,1.0406,1.0221
2015-12-31,1.0246,0.877,0.8144,1.4986,1.4265,1.4244,1.4994,1.7821,1.4992,1.4957,0.726,1.7165,1.4494,1.3464,1.3853,1.3281,1.425,1.8904,1.484,1.486,1.1881,1.233,1.5883,1.4355,1.437,1.4447,1.5132,1.4811,1.5155,1.3953,1.4497,1.4524,1.3984,1.4017,0.8839,0.9051,0.8704,1.5317,1.507,1.8767,1.4033,1.4056,1.7304,1.8013,1.3027,0.3498,1.3997,1.2426,1.4648,1.0115,1.0111,1.0182,1.3184,1.4609,1.4571,1.5195,1.5173,1.5262,1.5031,1.4999,1.5313,1.5164,1.4482,1.548,1.513,1.5219,1.5133,1.5342,1.1066,0.9972,1.0449,1.0144,1.0511,1.0417,1.4259,1.4277,1.4309,1.4317,1.044,1.0374,1.0862,1.5197,1.5073,1.5194,1.3916,1.3927,1.2909,1.0381,1.2996,1.5068,1.517,1.5233,1.4233,1.7138,1.1037,0.7273,0.9879,0.7261,1.0235,1.1332,1.0263,0.9278,1.0372,0.9876,1.391,1.3891,1.3839,1.0656,1.5676,1.5691,1.6238,0.8085,1.0243,1.0912,1.4294,1.43,1.4191,1.4354,1.0384,1.0299,1.0327,1.0271,1.0397,1.0292,1.0402,1.0159,0.8946,1.0247,1.1015,0.9945,0.7957,1.0471,1.0549,0.972,1.0435,1.1154,1.0505,0.7804,0.8952,1.1129,0.9392,0.9572,1.0907,0.9313,1.063,1.1074,1.0406,1.0191,1.0134,1.0829,1.0417,1.0653,1.0511,1.0454,1.034,1.0804,1.0129,1.0605,0.9315,1.0321,1.0459,1.0307,1.0,1.017,1.1108,1.0866,1.0582,1.0285,1.0813,1.0171,0.9695,0.963,1.0212,1.0109,0.9858,1.0291,1.6201,1.5539,1.5067,1.4865,1.5841,1.5612,1.6026,1.0922,1.0021,1.0361,0.9188,1.0605,1.1941,1.1432,1.3156,1.3136,1.2509,0.7993,1.5718,0.973,1.1043,1.0408,1.0501,1.0219,1.043,0.9254,1.0457,1.0587,1.0308
2016-12-31,1.0383,0.8826,0.8023,1.9201,1.6894,1.7089,1.7082,1.9086,1.6685,1.6643,0.9281,1.8678,1.763,1.4525,1.4744,1.4234,1.6583,1.8382,1.7809,1.7887,1.4435,1.4401,1.6999,1.6832,1.6746,1.6914,1.6945,1.6837,1.6861,1.8311,1.6608,1.6621,1.7643,1.7706,1.1097,1.1587,1.1243,1.8777,1.8817,1.8261,1.8406,1.828,2.3454,2.492,1.2988,0.7207,1.7654,1.3469,1.8543,1.0273,1.0285,1.0439,1.6227,1.8492,1.847,1.8546,1.8536,1.8526,1.6833,1.6894,1.7123,1.6966,1.7347,1.7608,1.7037,1.7067,1.6954,1.6975,1.1567,0.9983,1.076,1.108,1.1229,1.068,1.6891,1.6746,1.6752,1.6785,1.0692,1.0481,1.3654,1.7021,1.7005,1.6984,1.6921,1.6901,1.7036,1.1191,1.71,1.6976,1.6957,1.7086,1.639,2.2874,1.1214,0.7962,1.0795,0.7916,1.1607,1.1565,1.1799,0.9751,1.0616,1.1247,1.62,1.6333,1.6063,1.0951,1.7827,1.8047,1.8474,0.7914,1.0515,1.0791,1.7205,1.7263,1.7095,1.6973,1.0488,1.0385,1.0517,1.0474,1.0501,1.0418,1.0747,1.1162,0.9022,1.043,1.1058,1.138,0.8457,1.1121,1.0683,1.0914,1.0756,1.1138,1.1173,0.8439,0.8976,1.122,0.9808,0.9876,1.086,0.9749,1.0719,1.1255,1.085,1.0339,1.0213,1.0956,1.0996,1.1213,1.1643,1.0725,1.0427,1.0935,1.0241,1.0738,0.9747,1.0419,1.069,1.0244,1.0041,1.0382,1.1126,1.0847,1.0512,1.0318,1.0912,1.025,0.996,0.9908,1.0203,1.0192,1.126,1.0239,1.6457,1.6513,1.6155,1.5885,1.6951,1.6634,1.7119,1.0878,1.0915,1.1705,0.9111,1.0674,1.1858,1.1502,1.4184,1.4096,1.3572,1.0223,1.6707,0.9969,1.1271,1.0654,1.1022,1.1469,1.0864,0.9695,1.1577,1.068,1.0524
2017-12-31,1.0508,0.9702,0.884,2.2678,1.9641,1.9642,2.4124,2.532,2.0326,2.0477,0.7456,2.4147,2.0242,1.5085,1.5256,1.4984,2.124,2.2384,2.2079,2.1728,1.7865,1.7859,2.2108,1.9096,1.952,1.9213,2.028,1.991,2.0111,2.0388,1.987,1.9879,1.9768,1.9869,1.0897,1.1484,1.0962,2.2909,2.2579,2.2328,2.0558,2.0389,3.2479,3.4834,1.7118,0.8733,1.9827,1.6747,2.0981,1.0442,1.0472,1.0732,1.8554,2.0908,2.0899,2.123,2.1242,2.1249,2.0423,2.0437,2.0771,2.069,1.9626,2.1498,2.0678,2.078,2.0603,2.0862,1.2709,1.0051,1.1153,1.1316,1.2435,1.1061,1.944,1.9299,1.9332,1.9346,1.1072,1.0692,1.4979,2.0715,2.0612,2.0721,1.9388,1.9383,1.8346,1.245,1.8479,2.0576,2.061,2.0806,1.9366,2.5152,1.2777,0.8975,1.1905,0.9011,1.2312,1.1937,1.2478,1.167,1.1051,1.2256,1.8133,1.8365,1.7999,1.1471,2.4352,2.4229,2.5325,0.8777,1.0696,1.1453,2.0022,2.0069,1.9818,1.9538,1.0671,1.0612,1.0712,1.0666,1.0769,1.0545,1.1124,1.2518,1.0048,1.0563,1.214,1.2119,0.9513,1.1905,1.0949,1.169,1.1073,1.1653,1.1905,0.9614,1.0308,1.2,0.9997,0.9919,1.1457,1.0034,1.1171,1.1954,1.1468,1.0465,1.0247,1.1962,1.1628,1.1808,1.3005,1.0959,1.0604,1.188,1.0244,1.1004,1.0041,1.0584,1.1065,1.0346,1.0108,1.0575,1.2037,1.136,1.1022,1.0425,1.1896,1.0313,1.0033,0.9958,1.028,1.0219,1.1854,1.0357,2.1488,2.1091,2.0182,1.9348,2.2028,2.154,2.192,1.1423,1.1975,1.2305,1.0426,1.1202,1.3105,1.2286,1.7316,1.733,1.6896,1.0789,1.8686,1.005,1.2935,1.105,1.1625,1.2312,1.1272,1.0001,1.2997,1.0908,1.069
2018-12-31,1.0648,0.9522,0.8543,1.8528,1.7806,1.7332,2.2812,2.5288,1.948,1.9743,0.4099,2.338,1.8956,1.444,1.4574,1.4283,2.0445,2.3789,1.9154,1.8684,1.4741,1.5202,2.1769,1.7483,1.8094,1.759,1.7943,1.8099,1.8253,1.7767,1.7778,1.7799,1.7384,1.746,0.8786,0.9392,0.8776,1.9918,1.9527,2.3623,1.7932,1.7769,2.9539,3.2574,1.2714,0.6394,1.7457,1.5219,1.9196,1.0597,1.0617,1.0763,1.6581,1.9118,1.9093,2.0295,2.0351,2.0278,1.9369,1.9326,1.9777,1.9754,1.7186,1.9668,1.9576,1.9847,1.9593,2.0173,1.2827,1.0226,1.1132,1.1167,1.1916,1.1048,1.7649,1.752,1.7589,1.7587,1.1082,1.0834,1.4105,1.9769,1.9533,1.9797,1.7232,1.7223,1.5959,1.1815,1.6015,1.9485,1.9614,1.987,1.7568,2.2804,1.2342,0.8299,1.1253,0.8329,1.2063,1.2523,1.2388,1.077,1.0993,1.1791,1.8846,1.917,1.8707,1.1514,2.4125,2.3823,2.5948,0.8467,1.0805,1.1563,1.7753,1.7823,1.7581,1.7517,1.0762,1.0639,1.0945,1.0748,1.0876,1.0689,1.1045,1.1655,0.9787,1.0695,1.2405,1.1722,0.8801,1.1454,1.1039,1.139,1.1158,1.1768,1.155,0.8987,0.9674,1.199,0.9915,0.9944,1.1517,0.9891,1.1212,1.1889,1.1207,1.0638,1.0406,1.1769,1.1372,1.1603,1.209,1.1059,1.0748,1.1697,1.0403,1.1104,0.9899,1.0738,1.1061,1.0507,1.0283,1.0757,1.1944,1.1465,1.1136,1.0661,1.1709,1.0422,1.0087,0.9978,1.047,1.0369,1.1821,1.055,2.1932,2.0391,1.9196,1.8273,2.166,2.0914,2.1622,1.1499,1.1237,1.1973,0.9668,1.1172,1.251,1.2326,1.5961,1.5846,1.5247,0.9186,1.723,1.0107,1.2338,1.103,1.1417,1.19,1.1216,0.9848,1.2041,1.1018,1.0845
2019-12-31,1.1179,1.0054,0.8627,2.5181,2.2673,2.1925,3.3735,3.514,2.5688,2.6069,0.3957,3.2065,2.3243,1.7858,1.7884,1.7994,2.5562,2.8654,2.4725,2.4306,1.821,1.887,2.9618,2.205,2.2784,2.2248,2.3593,2.357,2.3909,2.2052,2.2393,2.2445,2.1844,2.1983,0.9668,1.0495,0.959,2.6267,2.5691,2.8535,2.2282,2.2112,4.8577,5.2905,1.7965,0.7333,2.1977,1.9266,2.3576,1.1017,1.1045,1.1377,2.0117,2.343,2.3423,2.4554,2.4619,2.4568,2.533,2.5251,2.6104,2.592,2.178,2.6096,2.558,2.605,2.5678,2.6512,1.4219,1.0434,1.2283,1.2287,1.4179,1.2024,2.3204,2.306,2.3165,2.3171,1.202,1.1431,1.6653,2.5941,2.5524,2.5985,2.1607,2.1668,1.9472,1.4131,1.9609,2.5486,2.5718,2.6102,2.064,3.1783,1.4647,0.9368,1.2995,0.9144,1.3763,1.3714,1.3654,1.1697,1.2035,1.338,2.3409,2.3942,2.3559,1.2497,3.5378,3.57,3.8565,0.8412,1.1411,1.2526,2.24,2.2474,2.2113,2.193,1.1392,1.1422,1.1316,1.145,1.1749,1.1299,1.2657,1.4358,1.0155,1.1456,1.3564,1.3465,0.9364,1.3444,1.1721,1.2974,1.2044,1.2585,1.3259,0.9922,1.0101,1.3068,1.0708,1.0515,1.2371,1.0717,1.2346,1.302,1.2613,1.101,1.0767,1.3431,1.2963,1.3239,1.4978,1.1836,1.1413,1.337,1.077,1.1791,1.0742,1.1402,1.2017,1.089,1.0526,1.1116,1.321,1.2274,1.1925,1.1303,1.3319,1.0793,1.058,1.046,1.0777,1.0719,1.2944,1.1027,2.9217,2.7943,2.5923,2.4442,2.9427,2.8732,2.941,1.2245,1.3221,1.36,1.0577,1.2287,1.471,1.34,2.0757,2.0306,1.9335,1.0351,2.1728,1.0599,1.4956,1.1986,1.3093,1.3466,1.2363,1.0714,1.487,1.1696,1.141
2020-12-31,1.1704,1.1009,0.9186,2.2547,2.7024,2.6166,4.8451,5.2226,3.1135,3.2364,0.2327,4.6451,2.2102,1.6447,1.5845,1.6543,2.8014,3.2464,2.7422,2.7306,2.175,2.2731,4.0962,2.2653,2.3386,2.2851,2.6744,2.7561,2.8236,2.2631,2.742,2.7511,2.2622,2.2797,0.643,0.7066,0.6423,2.5811,2.5187,3.2975,2.2879,2.2733,7.5554,8.0796,2.2991,0.8503,2.2786,2.2413,2.6235,1.1113,1.113,1.1541,2.4035,2.6112,2.6111,2.9274,2.9415,2.9403,3.042,3.0439,3.0931,3.1314,2.2832,3.1158,3.0878,3.0842,3.1012,3.2371,1.5514,1.0475,1.347,1.2449,1.6418,1.2952,2.3565,2.334,2.3485,2.3455,1.2918,1.209,1.885,3.0696,3.0903,3.1451,2.5935,2.6049,2.0379,1.6405,2.0566,3.0777,3.1105,3.0885,2.6639,4.0616,1.8102,0.9536,1.37,0.9426,1.4378,1.4227,1.41,1.2947,1.3089,1.4273,2.3159,2.3766,2.3679,1.3472,5.2166,5.1272,5.6321,0.9041,1.1954,1.3262,2.5449,2.553,2.5099,2.4881,1.1792,1.2254,1.1529,1.2181,1.2925,1.2084,1.3877,1.6267,1.1261,1.2071,1.3587,1.4132,0.9654,1.4919,1.2199,1.3852,1.299,1.3151,1.4546,1.0368,1.1262,1.3731,1.1776,1.1235,1.3107,1.1878,1.4046,1.3788,1.3826,1.1236,1.1101,1.5869,1.4186,1.4491,1.6966,1.2443,1.2293,1.5719,1.1097,1.2234,1.1909,1.2282,1.2913,1.1179,1.061,1.1295,1.4031,1.2903,1.25,1.2173,1.5725,1.1142,1.1129,1.1029,1.1047,1.1044,1.3696,1.1393,4.0482,3.9189,3.506,3.2876,4.0684,4.0515,4.092,1.2757,1.3523,1.4308,1.1938,1.3832,1.5647,1.4057,2.3884,2.3511,2.2542,0.7142,2.4087,1.1123,1.8632,1.2872,1.4441,1.4361,1.3313,1.1937,1.6873,1.2186,1.1848
2021-12-31,1.1577,1.0055,0.8557,3.1052,3.1773,3.0471,6.2785,6.6547,4.0219,4.2322,0.2821,5.672,2.9107,2.3445,2.305,2.3699,3.3848,4.0917,3.3203,3.2985,2.7716,2.8967,5.2268,2.8305,2.9368,2.8628,3.2843,3.3746,3.5212,2.954,3.2543,3.259,2.951,2.9751,0.9865,1.0831,1.004,3.4794,3.4059,4.0695,2.9873,2.9705,10.7386,11.6418,3.4416,1.1472,2.9737,2.6596,3.3209,1.1163,1.1174,1.1605,3.0627,3.3112,3.3105,3.5822,3.6009,3.6016,3.8444,3.8213,3.9834,3.971,2.9248,3.8658,3.8807,3.9712,3.9174,4.1366,1.567,1.0465,1.3146,1.2737,1.5943,1.2711,2.9507,2.9111,2.9336,2.929,1.269,1.1963,2.014,3.9515,3.884,4.0072,2.9705,2.9903,2.6076,1.5967,2.6303,3.8729,3.9344,3.9778,3.6587,5.1282,1.6982,0.8606,1.3394,0.851,1.4918,1.496,1.4773,1.2457,1.2788,1.4505,2.7086,2.7901,2.7871,1.3368,7.0654,6.9085,7.3471,0.8403,1.1869,1.329,3.1712,3.184,3.1257,3.1043,1.1573,1.2117,1.1532,1.1949,1.2494,1.1777,1.3647,1.5993,1.0219,1.2003,1.4273,1.4697,0.8696,1.4644,1.2025,1.3771,1.2755,1.3254,1.4374,0.9366,1.0315,1.4056,1.2428,1.1852,1.314,1.2553,1.329,1.4155,1.3505,1.1232,1.103,1.5139,1.3996,1.4235,1.6673,1.2365,1.1969,1.4936,1.1031,1.2077,1.2608,1.196,1.2691,1.1137,1.06,1.1292,1.4339,1.3034,1.2584,1.1863,1.494,1.1061,1.1761,1.1651,1.105,1.0965,1.4389,1.1407,5.0334,4.9906,3.9477,3.9614,5.1846,5.2096,5.2425,1.2929,1.2942,1.4783,1.1118,1.3312,1.5893,1.433,2.9578,2.8748,2.6659,1.0062,2.8336,1.1719,1.7659,1.2643,1.4247,1.5166,1.3148,1.2629,1.6538,1.2008,1.1825
2022-12-31,1.0942,0.8072,0.7654,2.4319,2.6197,2.4435,4.4035,4.4868,3.1763,3.2044,0.4689,3.8501,2.963,1.7663,1.7036,1.791,3.1473,4.0066,3.1354,3.0158,2.4447,2.5405,3.7018,2.6111,2.7122,2.6437,2.756,2.7847,2.8615,2.619,2.6349,2.6424,2.7412,2.761,1.5804,1.7798,1.6354,3.1109,2.9866,3.888,2.6564,2.6329,7.1378,7.5571,2.4459,1.2979,2.7599,2.1706,2.783,1.1306,1.132,1.169,2.4988,2.7796,2.7721,2.8185,2.8355,2.8404,3.0919,3.0844,3.2627,3.2004,2.5652,3.1128,3.1251,3.25,3.1655,3.3137,1.2614,1.061,1.141,1.2417,1.1646,1.1044,2.7914,2.7536,2.7787,2.7716,1.1038,1.1034,1.7269,3.2333,3.1257,3.2095,2.362,2.3774,2.2226,1.1716,2.2498,3.1194,3.1814,3.2549,2.6322,3.9744,1.0334,0.781,1.0899,0.7619,1.328,1.2635,1.3972,1.0514,1.1017,1.2742,2.7133,2.8197,2.8273,1.142,4.6048,4.9931,5.1654,0.7483,1.1148,1.205,2.7535,2.7666,2.7104,2.6967,1.0319,1.0495,1.1533,1.0959,1.0601,1.0657,1.1736,1.1934,0.7964,1.1327,1.1993,1.2905,0.7762,1.2019,1.0613,1.2038,1.1325,1.2158,1.2224,0.8258,0.831,1.2205,1.1219,1.1309,1.1804,1.1013,0.9936,1.231,1.1461,1.1249,1.0603,1.041,1.1855,1.2245,1.242,1.167,1.0708,1.0553,1.0605,1.064,1.1092,1.0695,1.102,1.0712,1.0699,1.1178,1.1872,1.2077,1.175,1.06,1.0541,1.0634,1.1406,1.1129,1.0824,1.054,1.3598,1.0893,3.4351,3.3357,2.8857,2.8179,3.6651,3.4598,3.5753,1.1926,0.9775,1.3487,0.8601,1.0653,1.2896,1.2703,2.4275,2.3582,2.186,1.4943,2.7829,1.1375,1.0368,1.0994,1.2013,1.3563,1.1879,1.1007,1.2291,1.0561,1.1433
